Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
214,242,0.776,0.054,,0.456,0.041,,SD,,,The number of replicates id not informed in the paper,201,3/11/2022
215,243,0.795,0.070,,0.452,0.036,,SD,,,The number of replicates id not informed in the paper,201,3/14/2022
